更新时间,公司名称,企业性质,行业分类,招聘岗位,工作地点,截止时间,届次,学历要求,批次,公告来源,公告链接,投递链接,专业要求,是否笔试,⚠筛选前先看使用说明！,父记录,父记录 2,字段 1
2026/07/27,超星学习通,民企,教育/培训/科研,产品经理（高校数字校园方向）,武汉,尽快投递,2026届,本科、硕士、博士,春招补招,超星学习通,https://www.xiaohongshu.com/explore/6a603ff5000000000100c456?app_platform=android&ignoreEngage=true&app_version=9.31.0&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CB_jSNUU7cLwRg_JQ94KPMj_vJFlDWzrnTp4iWogfk4sA=&author_share=1&xhsshare=CopyLink&shareRedId=N0g0RkRLPDxMPko6S0E0SkczO0A2Sj45&apptime=1784858932&share_id=f623cb87b4704edcb0362643826a715e&share_channel=copy_link,https://www.xiaohongshu.com/explore/6a603ff5000000000100c456?app_platform=android&ignoreEngage=true&app_version=9.31.0&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CB_jSNUU7cLwRg_JQ94KPMj_vJFlDWzrnTp4iWogfk4sA=&author_share=1&xhsshare=CopyLink&shareRedId=N0g0RkRLPDxMPko6S0E0SkczO0A2Sj45&apptime=1784858932&share_id=f623cb87b4704edcb0362643826a715e&share_channel=copy_link,/,/,,,,
2026/07/27,亿星软件,民企,IT/互联网/游戏,软件销售管培生|软件销售助理,"厦门, 广州, 泉州, 青岛",尽快投递,"2025届, 2026届",本科、硕士、博士,春招补招,亿星软件,https://mp.weixin.qq.com/s/rkcXEaHyadZclvb09NiZtw,https://esunsoft.zhiye.com/,专业不限，国际经济与贸易、市场营销、会计学、财务管理、计算机、工商管理、会展经济与管理等相关专业优先,/,,,,
2026/07/27,吉利,民企,汽车制造/维修/零配件,校园大使,"远程, 线上",2026-08-08,"2027届, 2028届",本科、硕士、博士,秋招专场,吉利,https://mp.weixin.qq.com/s/xLoYKs7NHp-YUDVwy8apzQ,https://app.mokahr.com/m/campus-recruitment/geely/170390#/job/7db6f34c-47f3-44a1-ae2e-7ef4adf3ace0?from=qrcode,专业不限,/,,,,
2026/07/27,虎扑,民企,文化/传媒/广告/体育,足球赛事运营实习生、用户研究实习生,上海,尽快投递,"2027届, 2028届",本科、硕士、博士,实习,虎扑,https://mp.weixin.qq.com/s/F7ymRYE3Mhz2M38oJfNuPA,https://hupu.zhiye.com/social,专业不限，社会学、心理学、传播学、经济学、统计学等均可,/,,,,
2026/07/27,高露洁,合资,快速消费品,校园大使,"远程, 线上",2026-08-14,"2027届, 2028届",本科、硕士、博士,秋招专场,高露洁,https://mp.weixin.qq.com/s/iBweuBuoLTQSuPhNvwymgA,https://app.mokahr.com/apply/colpal/28788#/job/14becf80-36ce-4026-91de-951c021168f6?from=qrcode&isRecommendation=false,/,有笔试,,,,
2026/07/27,TCL,民企,耐用消费品,校园大使,"远程, 线上",2026-08-31,"2026届, 2027届, 2028届",本科、硕士、博士,秋招专场,TCL,https://mp.weixin.qq.com/s/jgigXUTzX_eO5UpvIiqnWQ,https://jsj.top/f/r8bNbC,专业不限,有笔试,,,,
2026/07/27,北京金融大数据,央国企,IT/互联网/游戏,出纳岗,北京,尽快投递,"2027届, 2028届",本科、硕士、博士,实习,北京金融大数据,https://mp.weixin.qq.com/s/1474dKLrEKiwiW2olhKc2Q,https://mp.weixin.qq.com/s/1474dKLrEKiwiW2olhKc2Q,财务管理、会计、税务、经济金融类等相关专业,有笔试,,,,
2026/07/27,联众力社工,事业单位,机构/组织/政府,残障项目实习生、评估服务项目实习生、社区服务项目实习生,西安,尽快投递,"2027届, 2028届",本科、硕士、博士,实习,联众力社工,https://mp.weixin.qq.com/s/tG2365IxkV0VPel1aXqXNw?scene=1&click_id=2070590336,https://mp.weixin.qq.com/s/tG2365IxkV0VPel1aXqXNw?scene=1&click_id=2070590336,社会工作、社会学、心理学等相关专业优先,/,,,,
2026/07/27,豪迈,民企,能源/化工/环保,校园大使,"远程, 线上",尽快投递,2027届,硕士、博士,秋招专场,豪迈,https://mp.weixin.qq.com/s/-g80HhYTqotEO1k2NvAyUA,https://himile.zhiye.com/1601369545/detail?jobAdId=3a175c52-02e6-4b05-8a4a-8a5e04dc52df,/,/,,,,
2026/07/27,中国日报,事业单位,文化/传媒/广告/体育,新媒体中心招实习生,北京,尽快投递,"2027届, 2028届",本科、硕士、博士,实习,中国日报,https://mp.weixin.qq.com/s/-OVtAfyva20UTt8xd75d3g,https://mp.weixin.qq.com/s/-OVtAfyva20UTt8xd75d3g,专业不限，广播电视、新媒体相关专业优先,有笔试,,,,
2026/07/27,申洲集团,民企,能源/化工/环保,校园大使,全国多地,尽快投递,"2027届, 2028届",本科、硕士、博士,秋招专场,申洲集团,https://mp.weixin.qq.com/s/mQek1RFDPpe3H6uXyik-CQ?scene=1,https://career.shenzhouintl.com/campus/detail?jobAdId=fc07d685-8756-4924-86e3-42f866f96522,专业不限,/,,,,
2026/07/27,一台好戏,民企,文化/传媒/广告/体育,场馆运营实习生（剧场日常管理、人员排班、演出保障、物料管理）、剧场志愿者（检票引导、物料摆放、活动执行）,杭州,尽快投递,"2026届, 2027届, 2028届",本科、硕士、博士,实习,一台好戏,https://mp.weixin.qq.com/s/OACJ4bzU-mBzSM33ouAxaA?scene=1,https://mp.weixin.qq.com/s/OACJ4bzU-mBzSM33ouAxaA?scene=1,专业不限,/,,,,
2026/07/27,中国物流,央国企,交通/物流/仓储,物流类 IT类 综合类、物流管理、供应链管理、物资管理、管理科学与工程、数据库、网络、大数据分析、系统运维、云计算、国际贸易、财务会计、法学理论、工商管理、语言类等,"北京, 上海, 江苏, 广州, 全国多地",2026-08-02,2026届,本科、硕士、博士,春招补招,中国物流,https://mp.weixin.qq.com/s/B6w58CmYbYIOgj4muBpnvg,https://chinalogisticsgroup.hotjob.cn/,物流管理、供应链管理、物资管理、管理科学与工程、数据库、网络、大数据分析、系统运维、云计算、国际贸易、财务会计、法学理论、工商管理、语言类,有笔试,,,,
2026/07/27,诺瓦星云,民企,通信/电子/半导体,2027届校招岗位，具体见投递链接,"北京, 深圳, 西安",尽快投递,2027届,本科、硕士、博士,秋招专场,诺瓦星云,http://mp.weixin.qq.com/s/hyLMfjhsnzSA8MGEOCKo8w,http://mp.weixin.qq.com/s/hyLMfjhsnzSA8MGEOCKo8w,/,/,,,,
2026/07/26,奥马冰箱,民企,耐用消费品,研发技术类 工业设计类 工艺技术类 设备技术类 品质技术类 信息技术类 财务管理类 企业管理类 国内营销类 国际营销类,中山,尽快投递,2027届,本科、硕士,秋招专场,奥马冰箱,https://mp.weixin.qq.com/s/2TiFTmgUwEF_BgNXR9Bxng,https://homa-hr.zhiye.com/campus/jobs,/,/,,,,
2026/07/26,国轩高科-轩锐计划,民企,新能源,产品研发 工程技术 生产管理 职能管理,"合肥, 上海, 六安",尽快投递,2027届,硕士、博士,实习,国轩高科-轩锐计划,https://mp.weixin.qq.com/s/VX_Rh8uCvpqppDvdu9gheg,https://gotion.zhiye.com/intern/jobs,/,/,,,,
2026/07/26,中国融通集团,央国企,"农林牧渔, 商务服务业, IT/互联网/游戏, 医疗/医药/生物, 教育/培训/科研, 金融业",下属单位岗位，具体见投递方式链接,"北京, 西安, 乌鲁木齐, 喀什地区, 南京, 淮安, 上海, 巴音郭楞, 郴州, 曲靖",2026-08-14,2026届,本科、硕士、博士,春招补招,中国融通集团,https://mp.weixin.qq.com/s/iaCnXiUhO0qpYiu3X-o-FQ,https://job.crtc-hr.com/portal/#/recruitment/campus/searchAll,工学、经济学、理学、医学、农学、文学、管理学、法学,有笔试,,,,
2026/07/26,中国物流,央国企,交通/物流/仓储,物流类 IT类 综合类,"北京, 上海, 江苏, 广州, 全国其他",2026-08-02,2026届,本科、硕士、博士,春招补招,中国物流,https://mp.weixin.qq.com/s/B6w58CmYbYIOgj4muBpnvg,https://chinalogisticsgroup.hotjob.cn/,物流管理、供应链管理、物资管理、管理科学与工程、数据库、网络、大数据分析、系统运维、云计算、国际贸易、财务会计、法学理论、工商管理、语言类,有笔试,,,,
2026/07/26,比亚迪-半导体团队专场补录,民企,汽车制造/维修/零配件,工艺开发工程师、工艺整合工程师、设备工程师、工艺工程师、机电工程师、水气化二工程师、现场工程师、计划专员、AMHS工程师、品质工程师,成都,尽快投递,2026届,本科、硕士,春招补招,比亚迪-半导体团队专场补录,https://mp.weixin.qq.com/s/PGUQiWgL0ycrtYgDGu0knA,https://mp.weixin.qq.com/s/PGUQiWgL0ycrtYgDGu0knA,电子信息、微电子、机械工程、材料科学、自动化、,/,,,,
2026/07/25,圣邦微电子,民企,通信/电子/半导体,模拟集成电路设计工程师、数字集成电路设计工程师、数字验证工程师、工艺开发工程师、版图设计工程师、版图工程师、PDK工程师、测试研发工程师、项目管理工程师、TPE测试产品工程师、PCB Layout工程师、应用工程师、销售工程师、现场应用工程师,"哈尔滨, 北京, 大连, 成都, 武汉, 上海, 苏州, 杭州, 江阴, 深圳, 厦门, 香港",尽快投递,2027届,本科、硕士、博士,秋招专场,圣邦微电子,https://mp.weixin.qq.com/s/SihQ-xL024yDX2KbhLpHHA,https://campus.51job.com/sgmicro2027/job.html,/,有笔试,,,,
2026/07/25,昆仑芯科技,民企,通信/电子/半导体,芯片硬件类、芯片软件类,"北京, 上海, 杭州, 深圳",尽快投递,2027届,本科、硕士、博士,秋招专场,昆仑芯科技,https://mp.weixin.qq.com/s/7XmnxkhQ1wYyqVEep3vV1A,https://kunlunxin1.zhiye.com/custom/xiaoyuan?hideAll=true,/,/,,,,
2026/07/25,经纬恒润,民企,汽车制造/维修/零配件,Layout工程师-campus-2027、测试开发工程师-campus-2027、商业BP-campus-2027、AI控制算法工程师-campus-2027、控制算法工程师-campus-2027,"北京, 天津, 南昌, 上海",尽快投递,2027届,本科、硕士、博士,秋招专场,经纬恒润,https://app.mokahr.com/campus-recruitment/jingweihengrun/168294?locale=zh-CN#/,https://app.mokahr.com/social-recruitment/jingweihengrun/168299?locale=zh-CN,/,有笔试,,,,
2026/07/25,宽德智能学习实验室,民企,IT/互联网/游戏,AI研究员、研发工程师、数据策略师,"上海, 北京",尽快投递,2027届,本科、硕士、博士,秋招专场,宽德智能学习实验室,https://mp.weixin.qq.com/s/Ae7aXYKrscnPd10OVlAFbw,https://mp.weixin.qq.com/s/Ae7aXYKrscnPd10OVlAFbw,/,/,,,,
2026/07/25,瑞银,外企,金融业,管理培训生项目,"北京, 上海, 香港, 台湾, 新加坡, 澳大利亚",2026-09-30,"2025届, 2026届, 2027届",本科、硕士、博士,秋招专场,瑞银-亚太区,https://mp.weixin.qq.com/s/26fctJ55xaFk7BXb3jOxkA,https://mp.weixin.qq.com/s/26fctJ55xaFk7BXb3jOxkA,/,有笔试,,,,
2026/07/25,Momenta,民企,汽车制造/维修/零配件,嵌入式软件工程师、基础组件研发工程师、功能安全工程师、SDK开发工程师、电子工程师、系统基础工程师,"北京, 苏州, 上海",尽快投递,2027届,本科、硕士、博士,秋招专场,Momenta,https://momenta.jobs.feishu.cn/campus/?keywords=&category=&location=&project=7664524042879830335&type=&job_hot_flag=&current=1&limit=10&functionCategory=&tag=&sessionid=,https://momenta.jobs.feishu.cn/campus/?keywords=&category=&location=&project=7664524042879830335&type=&job_hot_flag=&current=1&limit=10&functionCategory=&tag=&sessionid=,/,/,,,,
2026/07/25,Momenta-Mstar顶尖人才计划,民企,汽车制造/维修/零配件,世界模型算法工程师及实习生、端到端大模型算法工程师及实习生、端到端决策规划工程师及实习生、训练推理优化工程师及实习生,"深圳, 上海, 北京, 苏州, 广州",尽快投递,2027届,硕士、博士,秋招专场,Momenta-Mstar顶尖人才计划,https://mp.weixin.qq.com/s/oYbKQqmJyvrD0RLtF6kf5A,https://momenta.jobs.feishu.cn/campus/?keywords=&category=&location=&project=7537265013606943018&type=&job_hot_flag=&current=1&limit=10&functionCategory=&tag=&sessionid=,/,/,,,,
2026/07/25,艾飞智控,民企,智能硬件,AI算法工程师、适航工程师、飞控算法工程师（飞控软件/控制律方向）、嵌入式软件工程师,"深圳, 南京, 西安",尽快投递,2027届,硕士、博士,秋招专场,艾飞智控,https://mp.weixin.qq.com/s/6CJcEQoux6szokXQVGTTMA,https://mp.weixin.qq.com/s/6CJcEQoux6szokXQVGTTMA,/,/,,,,
2026/07/25,申万宏源,民企,金融业,博士后研究员,上海,2026-10-15,2027届,博士,秋招专场,申万宏源,https://mp.weixin.qq.com/s/dxbSSRTtXWk4aNg70Dvxew,https://mp.weixin.qq.com/s/dxbSSRTtXWk4aNg70Dvxew,/,有笔试,,,,
2026/07/25,滴滴-未来精英,民企,交通/物流/仓储,全球顶尖人才,北京,尽快投递,2027届,本科、硕士、博士,秋招专场,滴滴-未来精英,https://mp.weixin.qq.com/s/s4yiavdRU_T0OylghCZrpg,https://outreach.didichuxing.com/elite/,/,/,,,,
2026/07/25,江西省建工集团（第二批次）,央国企,房地产业/建筑业,小语种翻译岗（境外）、财务管理岗（境外）、成本核算岗、财务管理岗、综合岗,"全国, 海外",2026-07-30,"2026届, 2024届, 2025届",本科、硕士、博士,春招补招,江西省建工集团（第二批次）,https://gzw.jiangxi.gov.cn/jxsgzw/rczp/content/content_2080225211822284800.html,https://gzw.jiangxi.gov.cn/jxsgzw/rczp/content/content_2080225211822284800.html,阿拉伯语、法语、俄语、金融学类、会计学、财务管理、审计学、土木建筑大类、工程管理、工程造价、管理科学与工程类、中国语言文学类,有笔试,,,,
2026/07/25,广州市天河区事业单位,事业单位,机构/组织/政府,中共广州市天河区委党校教研室、广州市天河区民防指挥信息保障中心、广州市天河区绿化管理中心、广州市天河区建设工程技术中心、广州市天河区水务设施管养中心、广州市天河区水上环境卫生管理所、广州市天河区农村集体资产交易中心、广州市天河区金融发展服务中心等事业单位岗位,广州,2026-08-04,2026届,本科、硕士、博士,春招补招,广州市天河区事业单位,http://www.thnet.gov.cn/thdt/tzgg/rsxx/rszp/content/post_10913681.html,https://www.qgsydw.com/,马克思主义哲学、中国哲学、伦理学、科学技术哲学、政治经济学、国民经济学、区域经济学、产业经济学、马克思主义理论、中共党史（含党的学说与党的建设）、人工智能、新一代电子信息技术、大数据技术与工程、电子信息科学与技术、电子信息工程、通信工程、计算机科学与技术、数据科学与大数据技术,/,,,,
2026/07/25,江西省建工集团（第三批次）,央国企,房地产业/建筑业,造价员、施工员、安全员、施工员（境外）,"海外, 全国多地",2026-07-30,"2026届, 2024届, 2025届",本科、硕士、博士,春招补招,江西省建工集团（第三批次）,https://gzw.jiangxi.gov.cn/jxsgzw/rczp/content/content_2080225951777202176.html,https://gzw.jiangxi.gov.cn/jxsgzw/rczp/content/content_2080225951777202176.html,土木建筑大类、水利大类、城市轨道交通类、交通运输类、机电设备类、自动化类、工程造价、工程管理,有笔试,,,,
2026/07/25,中国一汽,央国企,汽车制造/维修/零配件,智能网联研发岗、整车研发岗、新能源研发岗、数智化岗、智能制造岗,"北京, 天津, 长春, 上海, 无锡, 青岛, 成都",尽快投递,"2025届, 2026届",本科、硕士、博士,春招补招,中国一汽,http://www.sasac.gov.cn/n2588035/n2588325/n2588350/c35666878/content.html,https://faw-zhaopin.hotjob.cn/mobile/brand?recruitType=1,/,有笔试,,,,
2026/07/25,江西省高速实化新能源,央国企,生活服务业,财务管理部实习生,南昌,尽快投递,2027届,本科、硕士,实习,江西省高速实化新能源,https://www.ncrczpw.com/index.php?m=&c=notice&a=notice_show&id=7957,https://www.ncrczpw.com/index.php?m=&c=notice&a=notice_show&id=7957,税务、审计、会计类,/,,,,
2026/07/25,瓦肆,民企,文化/传媒/广告/体育,新媒体运营实习生,上海,尽快投递,"2027届, 2028届",本科、硕士、博士,实习,瓦肆,https://mp.weixin.qq.com/s/8Fos4wY3LQab8d-ePljzwA?scene=1,https://mp.weixin.qq.com/s/8Fos4wY3LQab8d-ePljzwA?scene=1,/,/,,,,
2026/07/25,我乐家居,民企,耐用消费品,营销实习生、制造实习生、原创设计实习生,南京,尽快投递,2027届,本科、硕士、博士,秋招提前批,我乐家居,https://mp.weixin.qq.com/s/OrUzF6Fnqm3V2MqSBreGuQ,https://olo-home.zhiye.com/campus/jobs,不限专业；家具设计、自动化、工业工程、机械类、木材科学与工程、产品设计、工业设计、室内设计、环境设计等相关专业,/,,,,
2026/07/25,长亭科技,民企,IT/互联网/游戏,AI研发工程师、AI攻防工程师、产品经理、销售经理、解决方案架构师、PDE工程师,"北京, 上海, 深圳, 广州, 杭州, 成都, 南京, 全国其他",尽快投递,2027届,本科、硕士、博士,秋招专场,长亭科技-AI顶尖人才,https://mp.weixin.qq.com/s/vrlGJJIuzP90lo8_n_Q4pQ,https://join.chaitin.cn/plugins/career_site/sites/default,/,/,,,,
2026/07/25,士兰微电子,民企,通信/电子/半导体,模拟IC研发类、数字IC研发类、MEMS传感器技术研发类、器件/模块及工艺研发类、封装设计研发类、系统应用测试开发类、AI芯片研发类、销售市场类、职能管理类,"杭州, 上海, 北京, 西安, 成都, 厦门, 无锡, 深圳",尽快投递,2027届,硕士、博士,秋招专场,士兰微电子,https://mp.weixin.qq.com/s/Tq1okMUfcQ4tZH7lrEnY_A,https://www.silan.com.cn/index.php/about/post.html,微电子、集成电路工程、电气工程、电子信息、电子科学与技术、控制工程、电子封装、光电工程、材料科学与工程,有笔试,,,,
2026/07/25,岚图汽车,央国企,汽车制造/维修/零配件,动力电池系统开发、VLM/VLA大模型、世界模型、数据科学、车载数字人大模型、智慧底盘系统架构,武汉,尽快投递,2027届,博士,秋招专场,岚图汽车-博士人才校招,https://mp.weixin.qq.com/s/nXDdDmmKYM90VUk0xu6eYQ,https://app.mokahr.com/campus-recruitment/voyah/146293#/jobs?project=100120298,/,/,,,,
2026/07/25,三安集成,民企,通信/电子/半导体,工艺工程师、设备工程师、滤波器设计工程师、器件研发工程师、长晶工艺工程师、减薄工艺工程师、GaAs研发工程师、GaN研发工程师、外延研发工程师、制程整合工程师,"泉州, 厦门",尽快投递,2027届,本科、硕士、博士,秋招专场,三安集成,https://mp.weixin.qq.com/s/i9w27V4Nnssdk5TLORxqoQ,https://mp.weixin.qq.com/s/i9w27V4Nnssdk5TLORxqoQ,/,/,,,,
2026/07/25,时代共赢私募基金,民企,金融业,AI算法研究员、高频因子策略研究员、量化研究员（组合优化）,"北京, 上海",尽快投递,2027届,本科、硕士、博士,秋招专场,时代共赢私募基金,https://mp.weixin.qq.com/s/FsEKdNvZEhsNXPeDyG6nXQ,https://mp.weixin.qq.com/s/FsEKdNvZEhsNXPeDyG6nXQ,/,/,,,,
2026/07/24,科大讯飞,民企,IT/互联网/游戏,研究算法类、研发类、AI研发类、大数据类、产品类、测试类、营销类、教育类、设计类、职能类、资源类、医学类、工程类、交付类,"合肥, 北京, 上海, 武汉, 深圳, 广州, 杭州, 南京, 苏州, 西安, 成都, 南昌, 济南, 郑州, 石家庄, 长春, 昆明, 福州, 乌鲁木齐",尽快投递,"2025届, 2026届, 2027届",本科、硕士、博士,秋招专场,科大讯飞,https://mp.weixin.qq.com/s/5lMeIe_scrERyeWHrGNiHg,https://iflytek.zhiye.com/campus/jobs?sessionid=,/,/,,,,
2026/07/24,中国兵器,央国企,机械/制造业,人工智能、兵器/武器研发、计算机/软件、电子/电器、化学/材料、光学/光电、数学/物理、航空航天、仪器/设备,"成都, 太原, 重庆, 绵阳, 北京, 齐齐哈尔, 辽阳, 湖北, 内蒙古, 西藏, 辽宁, 陕西, 新疆",尽快投递,2027届,博士,秋招提前批,中国兵器,https://mp.weixin.qq.com/s/XDNbYhn2NJElXHCKLqP0mg?scene=1&click_id=919654967,https://norincogroupzhaopin.zhiye.com/campus/jobs,人工智能、兵器/武器研发、计算机/软件、电子/电器、化学/材料、光学/光电、数学/物理、航空航天、仪器/设备相关专业,有笔试,,,,
2026/07/24,小鹏集团-营销服,民企,汽车制造/维修/零配件,新零售实习生/培训生、新媒体实习生/培训生、交付实习生/培训生、售后实习生/培训生,全国多地,尽快投递,2027届,本科、硕士、博士,秋招专场,小鹏集团-营销服,https://mp.weixin.qq.com/s/GUoJplVQUES2Crr8RtxeJg,https://xiaopeng.jobs.feishu.cn/campus/position/list?functionCategory=7256710601693972794,/,/,,,,
2026/07/24,极飞科技,民企,智能硬件,算法类、AI&软件类、产品&测试类、机械结构类、自动化类、硬件类、财务类、人事行政类、供应链类、项目管理类、销售支持类、销售类,"广州, 东莞",尽快投递,2027届,本科、硕士、博士,实习,极飞科技,https://mp.weixin.qq.com/s/Syy4Fh4sMEMW2rVUUQRW6A,https://zhaopin.xa.com/campus/jobs,/,/,,,,
2026/07/24,华海清科,央国企,通信/电子/半导体,研发类、技术类、职能类,"天津, 北京, 上海, 广州, 昆山, 武汉, 合肥, 杭州, 成都, 青岛, 无锡, 苏州, 宁波, 西安, 深圳, 泉州",尽快投递,2027届,本科、硕士、博士,秋招专场,华海清科,https://mp.weixin.qq.com/s/ax1_k9OTRlBYmqfpkUj7Vw,https://hwatsing1.zhiye.com/campus/jobs,/,/,,,,
